동
풍납동
면목동
봉천동
삼성동
신사동
진관동
화곡동
개봉동
금호동3가
북가좌동
마장동
도원동
불광동
신당동
신길동
사당동
당산동4가
상계동
독산동
역삼동
문래동3가
문배동
도봉동
방이동
목동
신림동
대치동
홍은동
중화동
신대방동
도곡동
구로동
아현동
거여동
전농동
상암동
가락동
상봉동
망우동
염리동
시흥동
장지동
연남동
하월곡동
신도림동
대방동
문정동
고척동
청량리동
역촌동
화양동
신천동
광장동
오금동
서교동
구의동
잠실동
송파동
창동
신내동
노량진동
석관동
서초동
중계동
답십리동
황학동
하계동
우면동
잠원동
방배동
연희동
북아현동
쌍문동
홍제동
방학동
반포동
금호동2가
행당동
창전동
이문동
묵동
공릉동
보문동3가
보문동6가
삼선동2가
하왕십리동
남가좌동
월계동
중림동
성수동2가
옥수동
응봉동
동소문동5가
가양동
상일동
이촌동
신정동
일원동
방화동
명일동
염창동
신월동
한강로1가
둔촌동
한강로2가
여의도동
대흥동
미아동
영등포동1가
내발산동
천호동
상도동
영등포동8가
암사동
용문동
성내동
압구정동
개포동
망원동
자곡동
청담동
본동
한남동
구산동
길동
상왕십리동
숭인동
고덕동
영등포동
대조동
녹번동
충정로3가
한강로3가
양평동4가
용산동5가
자양동
세곡동
수서동
수색동
마천동
정릉동
당산동5가
종암동
등촌동
대림동
길음동
돈암동
오류동
당산동3가
응암동
마곡동
당산동2가
중동
장안동
성산동
도화동
공덕동
휘경동
흑석동
증산동
토정동
냉천동
양평동5가
금호동1가
무악동
신공덕동
논현동
금호동4가
청암동
양평동3가
신수동
인의동
충무로4가
제기동
용강동
율현동
수유동
신계동
장위동
보광동
용두동
산천동
삼선동3가
신원동
회기동
내곡동
대현동
번동
합동
양평동1가
창신동
영천동
양평동6가
강일동
상수동
익선동
문래동6가
중곡동
노고산동
가리봉동
군자동
성수동1가
현석동
송정동
후암동
당산동
갈현동
원효로1가
가산동
천왕동
온수동
현저동
효창동
평창동
동작동
도림동
서빙고동
하중동
용답동
우이동
흥인동
사직동
상도1동
동빙고동
원효로2가
사근동
회현동1가
상월곡동
만리동1가
남현동
양재동
합정동
이태원동
공항동
당산동1가
동소문동7가
삼선동4가
성북동1가
석촌동
양평동2가
인현동2가
마포동
영등포동7가
동소문동4가
동자동
내수동
보문동4가
효제동
삼전동
교남동
천연동
안암동3가
창천동
원효로4가
용산동2가
회현동2가
영등포동5가
순화동
묵정동
도선동
문래동5가
문래동4가
남대문로5가
당주동
안암동1가
누상동
동소문동6가
충정로2가
신영동
영등포동4가
홍익동
동선동5가
명륜2가
동선동4가
동숭동
항동
청운동
신설동
충무로5가
신창동
교북동
궁동
견지동
만리동2가
산림동
청파동1가
안암동4가
명륜1가
영등포동3가
주성동
당산동6가
연건동
성북동
문래동2가
옥인동
을지로5가
동선동1가
홍파동
예장동
혜화동
명륜3가
장충동1가
동교동
장충동2가
영등포동2가
필운동
청파동3가
남창동
원효로3가
신문로1가
행촌동
삼선동5가
충신동
동선동3가
평동
오장동
필동3가
구기동
능동
정동
갈월동
이화동
부암동
보문동2가
남산동2가
신교동
연지동
신문로2가
원남동
필동1가
